level_1_name,level_1_id,level_2_name,level_2_id,level_3_name,level_3_id,level_4_name,level_4_id,level_5_name,level_5_id
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,CEBA,mJKbVMG4hkP,ROBESTY CENTRE DE SANTE,Ik8jOOEPKUb
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,KIZITO,SW5JvJ13QJM,SACRE COEUR CENTRE DE SANTE,CynODRIbEFD
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,MUTOSHI,j4XDKfj3HMn,SAINT JACQUES CENTRE DE SANTE,ompINiNlKkK
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,DIMEV,LJbM1noLaA5,SAINT LUC CENTRE DE SANTE,mO2uhj9VlkK
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,UCK,XRiYGn71FlT,SAINT LUC II CENTRE DE SANTE,t9dQKF907rA
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,DILALA,mSQE0BqfXOy,NOA,TXOItONqZzs,SAINT MICHEL CENTRE DE SANTE,ybEj26xC4G7
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,RVA,ugKffvSToJg,SAINT PAUL CENTRE DE SANTE,n68ChLMJa8Z
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,MUTOSHI,j4XDKfj3HMn,SAINT PIERRE CENTRE DE SANTE,qyabFWi9UQ0
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,MUTOSHI,j4XDKfj3HMn,SALAMA CENTRE DE SANTE,Q7kVlZOUmHb
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,CAMP MASSARD,Xn4EKfVPZKF,SALEM CENTRE DE SANTE,UuXGDPKCc15
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,KALAMBA,Ux1WH67fWJJ,MWANT A NGAND,nRZTlAV5dFr,SANKUZ POSTE DE SANTE,SyYtAgnjJyf
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,DIMEV,LJbM1noLaA5,SAUVEUR DE VIE CENTRE DE SANTE,lBh5vAFKAgn
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,SEP CONGO,u1ESQWWtCFn,SEPHORA CENTRE DE SANTE,ondEqWo3tip
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,SERADJA,ZgSXN4f8ZwV,SERADJA CENTRE DE SANTE,CEaEdHHMU1Y
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,KANZENZE,yAdgorGUtcE,TSHAMUNDENDA 3,WXxbX5cGur8,SHAMMAH CENTRE DE SANTE,Jzz2BJjxrDg
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,LWAMBA,WELPCXvcE0m,SHARON ROSE CENTRE DE SANTE,tJlPOHF7ucP
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,HGR MWANGEJI,xxqm0dbkegx,SHUKRANIE CENTRE DE SANTE,XoVI3gdGlmh
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,UCK,XRiYGn71FlT,SOLEIL CENTRE DE SANTE,H8RGfwGDqTZ
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,CAMP MASSARD,Xn4EKfVPZKF,SOURCE DE VIE CENTRE DE SANTE,Uy2vBzARi9I
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,CAMP MASSARD,Xn4EKfVPZKF,ST PATRICK CENTRE DE SANTE,gCLf1JcNhz7
